,,,ZZEM,,,,,,사주,,,,,,Speaking,,,,,
sql과 맞는 Metric,sql과 맞는 Metric,지표,W-2,W-1,변화,M-1,M0,변화,W-2,W-1,변화,M-1,M0,변화,W-2,W-1,변화,M-1,M0,변화
Paid_Cohort_Retention,Paid_Cohort_Retention,Paid Cohort Retention,46.28%,49.60%,7.19%,60.80%,48.66%,-19.96%,36.36%,38.97%,7.17%,41.69%,44.33%,6.34%,89.19%,90.00%,0.91%,85.37%,82.91%,-2.87%
W1_Any_Event_User,M1_Any_Event_User,ㄴ x0 Any Event User,87,125,43.68%,"1,267",637,-49.72%,88,53,-39.77%,138,532,285.51%,33,18,-45.45%,35,165,371.43%
W0_Purchase_Done_User,M0_Purchase_Done_User,ㄴ x-1 Purchase Done User,188,252,34.04%,"2,084","1,309",-37.19%,242,136,-43.80%,331,"1,200",262.54%,37,20,-45.95%,41,199,385.37%
,,,,,,,,,,,,,,,,,,,,
CVR,CVR,CVR,15.96%,20.49%,28.35%,17.13%,16.83%,-1.80%,13.83%,16.68%,20.63%,11.26%,15.90%,41.23%,0.30%,0.34%,16.32%,0.50%,0.51%,1.31%
Purchase_Done_User_CVR,Purchase_Done_User_CVR,ㄴ Purchase Done User,326,485,48.77%,"1,303","1,060",-18.65%,185,214,15.68%,903,698,-22.70%,29,29,,166,114,-31.33%
Gen_Done_User,Gen_Done_User,ㄴ Gen Done User,"2,042","2,367",15.92%,"7,605","6,300",-17.16%,"1,338","1,283",-4.11%,"8,023","4,391",-45.27%,"9,787","8,414",-14.03%,"32,946","22,333",-32.21%
Gen_Done_Count,Gen_Done_Count,ㄴ Gen Done Count,"7,739","8,951",15.66%,"29,720","26,580",-10.57%,"3,348","3,239",-3.26%,"25,804","11,965",-53.63%,"88,753","67,528",-23.91%,"634,217","293,658",-53.70%
,,,,,,,,,,,,,,,,,,,,
